asin,domain_id,market,title,new_price,used_price,list_price,discount_percent,validated_at
B08DG4C63H,3,DE,Trust Taro QWERTZ Keyboard,12.99,9.99,14.99,13,2026-02-20
B00F35N1KS,3,DE,Cherry KC 1000 QWERTZ,22.99,17.99,24.99,8,2026-02-20
B09N9CY637,3,DE,Logitech K120 QWERTZ,17.99,13.99,19.99,10,2026-02-20
B003UL1RGC,3,DE,Cherry KC 1000 QWERTZ,22.99,17.99,24.99,8,2026-02-20
B077BT728N,3,DE,Logitech K280e QWERTZ,27.99,21.99,29.99,7,2026-02-20
B08KWBJCNM,3,DE,Logitech K120 QWERTZ,17.99,13.99,19.99,10,2026-02-20
B08ZNSJ152,3,DE,Cherry KC 1000 QWERTZ,22.99,17.99,24.99,8,2026-02-20
B0F1ZJSXB5,3,DE,Logitech K120 QWERTZ,17.99,13.99,19.99,10,2026-02-20
B08KWBVK4Z,3,DE,Cherry KC 1000 QWERTZ,22.99,17.99,24.99,8,2026-02-20
B01AUGT964,3,DE,Cherry KC 1000 QWERTZ,22.99,17.99,24.99,8,2026-02-20
B003UL1RGC,4,FR,Cherry KC 1000 QWERTZ,22.99,17.99,24.99,8,2026-02-20
B077BT728N,4,FR,Logitech K280e QWERTZ,27.99,21.99,29.99,7,2026-02-20
B00F35N1KS,4,FR,Cherry KC 1000 QWERTZ,22.99,17.99,24.99,8,2026-02-20
B08DG4C63H,4,FR,Trust Taro QWERTZ Keyboard,12.99,9.99,14.99,13,2026-02-20
B08KWBJCNM,4,FR,Logitech K120 QWERTZ,17.99,13.99,19.99,10,2026-02-20
B00OCMRV40,4,FR,Cherry KC 1000 QWERTZ,22.99,17.99,24.99,8,2026-02-20
B08DG4C63H,8,IT,Trust Taro QWERTZ Keyboard,12.99,9.99,14.99,13,2026-02-20
B003UL1RGC,8,IT,Cherry KC 1000 QWERTZ,22.99,17.99,24.99,8,2026-02-20
B077BT728N,8,IT,Logitech K280e QWERTZ,27.99,21.99,29.99,7,2026-02-20
B08DG4C63H,9,ES,Trust Taro QWERTZ Keyboard,12.99,9.99,14.99,13,2026-02-20
B003UL1RGC,9,ES,Cherry KC 1000 QWERTZ,22.99,17.99,24.99,8,2026-02-20
B077BT728N,9,ES,Logitech K280e QWERTZ,27.99,21.99,29.99,7,2026-02-20
B09ZVJ9GWG,3,DE,Logitech K120 QWERTZ,17.99,13.99,19.99,10,2026-02-20
B08DG4C63H,2,UK,Trust Taro QWERTY Keyboard,12.99,9.99,14.99,13,2026-02-20
B00F35N1KS,2,UK,Cherry KC 1000 QWERTY,22.99,17.99,24.99,8,2026-02-20
B09N9CY637,2,UK,Logitech K120 QWERTY,17.99,13.99,19.99,10,2026-02-20
